StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,QID1_4_TEXT,Q38,Q2,Q2_18_TEXT,Q3,Q3_8_TEXT,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q13,Q40,Q15,Q15_8_TEXT,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_9_TEXT,Q17,Q17_10_TEXT,Q19,Q25,Q24,Q46,Q55,Q23,Q22,Q21,Q20,Q28,Q27,Q29,Q47,Q47_12_TEXT,Q30,Q33,Q34,Q34_7_TEXT,Q35,Q35_7_TEXT,Q36,Q36_7_TEXT,Q37,Q37_7_TEXT,Q50,Q50_7_TEXT,Q56,Q56_7_TEXT,Q53,Q52
2022-04-25 08:16:30,2022-04-25 08:26:02,IP Address,96.19.176.157,100,572,True,2022-04-25 08:26:02,R_R4snHX3nk5r8Sqd,,,,,43.6502,-116.4343,anonymous,EN,PhD student,,2020,"PhD Ecology, Evolution, & Behavior",,"Private for-profit industry,Private non-profit organization,Independent consulting",,Extremely important,"Data management,Data simulation,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Some entry level experience,,,No experience,,,,,"Abundance or occurrence of species or events,Epidemiological quantities (susceptibility, transmission),Multivariate indices of community composition (e.g. community assemblages and similarity indexes)",,1,6,5,3,4,7,8,2,9,,R,,Moderate experience but more training required,,,,,,,,,,,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab)","R,Python,ArcGIS",,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results,Taking advantage of high-performance computing resources",,It is at a difficult time for me to attend,,It is at a difficult time for me to attend,,I do not know what this resource is,,I do not know what this resource is,,I do not know what this resource is,,I do not know what this resource is,,,
2022-04-25 08:23:14,2022-04-25 08:28:54,IP Address,194.94.96.194,100,340,True,2022-04-25 08:28:55,R_1j7n25lN2TYRL3P,,,,,51.3235,12.4266,anonymous,EN,PhD student,,2019,"PhD Ecology, Evolution, & Behavior",,"Private for-profit industry,Private non-profit organization,Independent consulting",,Extremely important,"Data management,Regression analyses,Machine learning,Data simulation,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Competent at a professional level (ready to enter the job market),Competent at a professional level (ready to enter the job market),Some entry level experience,Competent at a professional level (ready to enter the job market),,,,,"Abundance or occurrence of species or events,Efficacy of interventions/treatments (through controlled or natural experiments),Latent categorical or clustering variables (i.e. survey response)",,1,6,5,4,3,8,2,7,9,,"R,STAN",,Competent at a professional level,,Moderate experience but more training required,,,,,,,,,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Student-led workshops","STAN,Julia,Google Earth Engine",,"Fitting complex regression analyses,Taking advantage of high-performance computing resources","R Users' Group,Stats Hour,EcoStatsBSU Slack channel,1:1 R help sessions provided by the Biology department,EcoStats Summer reading group",,,,,,,It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,,,,,,,
2022-04-25 08:36:51,2022-04-25 08:45:35,IP Address,75.174.155.37,100,523,True,2022-04-25 08:45:35,R_2e2aoewIQ1EO1WW,,,,,43.578,-116.2954,anonymous,EN,PhD student,,2019,,,Non-university teaching,,Extremely important,"Data management,Data simulation",Expert,,,Some entry level experience,,,,,,,4,6,2,5,1,8,3,7,9,,"R,Python,ArcGIS,Google Earth Engine",,Some entry level experience,Some entry level experience,,,,,,,Moderate experience but more training required,,Competent at a professional level,"Self-motivated learning with curated resources (i.e. faculty provide lists of self-led tutorials to do on your own),Student-led workshops","R,Python,STAN,ArcGIS,Google Earth Engine",,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results,Working with spatial data and creating maps,Taking advantage of high-performance computing resources","R Users' Group,1:1 R help sessions provided by the Biology department",,,I do not know what this resource is,,I forget,,I do not know what this resource is,,,,I do not know what this resource is,,,
2022-04-25 08:47:47,2022-04-25 08:57:22,IP Address,72.24.140.161,100,575,True,2022-04-25 08:57:23,R_W8JcNevqLbyUAKd,,,,,43.5784,-116.2179,anonymous,EN,Masters student,,2022,MS Biology,,Government,,Moderately important,Data management,Some entry level experience,,,,,,,,"Abundance or occurrence of species or events,Vital rates of a population (e.g. mortality, fecundity, emigration, immigration),Efficacy of interventions/treatments (through controlled or natural experiments)",,2,4,6,7,1,5,3,8,9,,"R,ArcGIS,Google Earth Engine",,Some entry level experience,,,,,,,,Some entry level experience,,Some entry level experience,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab)","R,Python,JAVA,ArcGIS,QGIS",,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results,Working with spatial data and creating maps,Taking advantage of high-performance computing resources",,Some other reason (please specify),I feel overwhelmed as a basic user of R,"It is at a difficult time for me to attend,Some other reason (please specify)","I work 40 hours a week outside of school, difficult to attend most scheduled things during ""normal"" hours",Some other reason (please specify),"This seems like it could be helpful, but is over my head as someone with a basic understanding",I do not know what this resource is,,"It is at a difficult time for me to attend,Some other reason (please specify)","I work 40 hours a week outside of school, difficult to find time to do this",I do not know what this resource is,,"There are multiple ways to access them, not al scheduled, which is great! ","More virtual options or options outside of ""normal"" hours would be amazing"
2022-04-25 09:06:26,2022-04-25 09:17:33,IP Address,174.126.222.19,100,667,True,2022-04-25 09:17:33,R_1k02KVpvwPAKe77,,,,,43.6349,-116.2023,anonymous,EN,Masters student,,2020,"MS Geoscience,Other (please specify",HES,"Private non-profit organization,Independent consulting",,Very important,"Data management,Regression analyses,Process models (e.g. hydrologic modeling, fire spread),Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Moderate experience but more training required,Moderate experience but more training required,,,No experience,,,,"Abundance or occurrence of species or events,Efficacy of interventions/treatments (through controlled or natural experiments),Spatial (or temporal) autocorrelation in the predictors or response",,1,7,2,4,5,6,3,8,9,,"R,STAN,ArcGIS,QGIS",,Competent at a professional level,,Some entry level experience,,,,,,Competent at a professional level,Competent at a professional level,,"Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab),Weeklong ‘bootcamps’ provided by faculty","R,Python,STAN,Julia,Google Earth Engine",,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results,Working with spatial data and creating maps,Taking advantage of high-performance computing resources","R Users' Group,Stats Hour,EcoStatsBSU Slack channel",,,,,,,"It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,I personally do not find this type of resource helpful for my learning",,I do not know what this resource is,,It is at a difficult time for me to attend,,I think having Kyle be more regularly involved in the R Users Group and available as a resource has been amazing. The faculty involved in the Ecostats channel and Statshour are also incredible and very generous with their time and knowledge.,"I think computing resources should be one of the most basic parts of all students' orientation to any part of the Earth/Eco sciences at BSU. I started at a weird time, so maybe I missed something that would normally have been an option, but I didn't know anything about, for example, the HPC options, until extremely late in my degree. I also really love the idea of weeklong bootcamps on specific topics. I'm not great at always pursuing knowledge on my own (other than the day to day Googling required for coding in general), so more focused workshops on, for example, process-based modeling, Stan, advanced spatial methods, GEE, or Shiny would be awesome."
2022-04-25 07:52:40,2022-04-25 09:23:40,IP Address,132.178.207.22,100,5459,True,2022-04-25 09:23:40,R_3e9uiEJh0ffVMg5,,,,,43.5885,-116.1918,anonymous,EN,PhD student,,2019,"PhD Ecology, Evolution, & Behavior",,"Private non-profit organization,Government",,Moderately important,Data management,Competent at a professional level (ready to enter the job market),,,,,,,,Spatial (or temporal) autocorrelation in the predictors or response,,4,6,7,5,1,2,3,8,9,,"R,ArcGIS,QGIS,Google Earth Engine",,Competent at a professional level,,,,,,,,Competent at a professional level,Competent at a professional level,Moderate experience but more training required,"Weeklong ‘bootcamps’ provided by faculty,Student-led workshops","R,QGIS",,"Managing large or complex data,Working with spatial data and creating maps","R Users' Group,EcoStatsBSU Slack channel",,,It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,,,,It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,,I forget,,"It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,I personally do not find this type of resource helpful for my learning",,Variety of resources,"help with visualization of figures and integrating adobe. "
2022-04-25 09:50:25,2022-04-25 09:56:54,IP Address,132.178.207.18,100,388,True,2022-04-25 09:56:54,R_e2Ri9kF4007tcIx,,,,,43.5885,-116.1918,anonymous,EN,PhD student,,2020,"PhD Ecology, Evolution, & Behavior",,Academia - primarily research,,Extremely important,"Data management,Regression analyses,Structural equation modeling,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Moderate experience but more training required,Some entry level experience,,,,,,No experience,"Abundance or occurrence of species or events,Multivariate indices of community composition (e.g. community assemblages and similarity indexes)",,3,5,4,6,1,7,2,8,9,,R,,Moderate experience but more training required,,,,,,,,,,,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab),Weeklong ‘bootcamps’ provided by faculty,Self-motivated learning with curated resources (i.e. faculty provide lists of self-led tutorials to do on your own),Student-led workshops","R,Python,STAN,BUGS/JAGS",,"Managing large or complex data,Fitting complex regression analyses,Taking advantage of high-performance computing resources","Stats Hour,EcoStatsBSU Slack channel",Some other reason (please specify),"time conflicts with lab meeting, being in a close group with no masks",,,,,I do not know what this resource is,,Some other reason (please specify),I sometimes worry my questions are wasting someone's time and I should just figure it out.,Some other reason (please specify),Last summer the book was very advanced and I didn't understand the math.,classes and groups are great,"I wish there were more stats classes in ecology, and I wish there were a few math classes that would help me understand the formulas behind more complex ecological theory (a theory class??)"
2022-04-25 10:25:20,2022-04-25 10:38:55,IP Address,174.27.15.158,100,815,True,2022-04-25 10:38:56,R_2zMxWtdzo7DmpC1,,,,,43.7308,-116.281,anonymous,EN,Masters student,,2019,MS Biology,,"Private non-profit organization,Non-university teaching,Government",,Very important,"Data management,Regression analyses,Data simulation,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Moderate experience but more training required,Moderate experience but more training required,,Some entry level experience,,,,,"Abundance or occurrence of species or events,Efficacy of interventions/treatments (through controlled or natural experiments),Spatial (or temporal) autocorrelation in the predictors or response,Latent categorical or clustering variables (i.e. survey response)",,1,3,5,6,2,7,4,8,9,,"R,ArcGIS",,Moderate experience but more training required,,,,,,,,Moderate experience but more training required,,,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Weeklong ‘bootcamps’ provided by faculty","R,Python,QGIS,Google Earth Engine",,"Managing large or complex data,Effective data visualization and/or presentation of results,Working with spatial data and creating maps",,"I forget,I am not comfortable attending this group",,"I personally do not find this type of resource helpful for my learning,I am not comfortable attending this group",,Some other reason (please specify),Not sure how to join,It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,,I personally do not find this type of resource helpful for my learning,,I do not know what this resource is,,They offer a variety of platforms for people to seek help,"There is an assumption in grad school a lot of the time that you should already know how to do things and that assumption is not negated when these resources are communicated to students. You have to go into these resources already with a certain level of competency it feels like, so it has been difficult to seek help when you don't know exactly what to ask. Perhaps having a couple stats/exploration hours, where common stats are reviewed and a few example articles of good methods sections could be presented to students, that way students who have no idea what Bayesian statistics are because it isn't relevant to their research so they haven't taken that class, can still get a brief overview and feel more confident at help sessions later on.  "
2022-04-25 10:51:12,2022-04-25 11:03:22,IP Address,132.178.238.28,100,729,True,2022-04-25 11:03:24,R_eyaU1iB06dpsm2t,,,,,43.5885,-116.1918,anonymous,EN,PhD student,,2020,"PhD Ecology, Evolution, & Behavior",,Private for-profit industry,,Extremely important,"Data management,Regression analyses,Machine learning,Data simulation,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Some entry level experience,Moderate experience but more training required,Moderate experience but more training required,Moderate experience but more training required,,,,,"Abundance or occurrence of species or events,Epidemiological quantities (susceptibility, transmission),Multivariate indices of community composition (e.g. community assemblages and similarity indexes),Efficacy of interventions/treatments (through controlled or natural experiments),Spatial (or temporal) autocorrelation in the predictors or response",,8,5,2,3,4,6,7,1,9,,"R,Python",,Moderate experience but more training required,No experience,,,,,,,,,,"Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab),Weeklong ‘bootcamps’ provided by faculty,Self-motivated learning with curated resources (i.e. faculty provide lists of self-led tutorials to do on your own),Student-led workshops","R,Python,JAVA,Julia,ArcGIS,QGIS,Google Earth Engine,Other (please specify)",C++,"Managing large or complex data,Effective data visualization and/or presentation of results,Working with spatial data and creating maps,Taking advantage of high-performance computing resources",EcoStatsBSU Slack channel,I do not know what this resource is,,I forget,,,,I do not know what this resource is,,I do not know what this resource is,,I do not know what this resource is,,,
2022-04-25 11:21:26,2022-04-25 11:28:05,IP Address,132.178.207.235,100,398,True,2022-04-25 11:28:05,R_30pcl7YIUbGhljG,,,,,43.5885,-116.1918,anonymous,EN,Faculty member,,,"MS Biology,MS Raptor Biology,PhD Ecology, Evolution, & Behavior",,"Private non-profit organization,Academia - primarily research,Government",,Extremely important,"Data management,Regression analyses,Machine learning,Data simulation,Individual or agent-based models/computer simulation,Structural equation modeling,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Moderate experience but more training required,Moderate experience but more training required,No experience,Some entry level experience,,Moderate experience but more training required,,Some entry level experience,"Abundance or occurrence of species or events,Vital rates of a population (e.g. mortality, fecundity, emigration, immigration),Efficacy of interventions/treatments (through controlled or natural experiments),Spatial (or temporal) autocorrelation in the predictors or response",,1,4,5,3,6,7,2,8,9,,"R,STAN,NetLogo,ArcGIS,QGIS,Google Earth Engine",,Moderate experience but more training required,,Some entry level experience,,,,,No experience,Some entry level experience,Some entry level experience,No experience,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab)",Google Earth Engine,,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results,Working with spatial data and creating maps,Taking advantage of high-performance computing resources","Stats Hour,EcoStatsBSU Slack channel,1:1 R help sessions provided by the Biology department",It is at a difficult time for me to attend,,,,,,I do not know what this resource is,,,,It is at a difficult time for me to attend,,,
2022-04-25 11:27:10,2022-04-25 11:35:48,IP Address,96.19.191.118,100,517,True,2022-04-25 11:35:48,R_215RIae9SwIENDq,,,,,43.5885,-116.1918,anonymous,EN,Masters student,,2021,MS Raptor Biology,,Private non-profit organization,,Very important,"Data management,Regression analyses,Data simulation,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Some entry level experience,Some entry level experience,,Moderate experience but more training required,,,,,"Abundance or occurrence of species or events,Vital rates of a population (e.g. mortality, fecundity, emigration, immigration),Spatial (or temporal) autocorrelation in the predictors or response",,,,,,,,,,,,"R,Python,ArcGIS",,Some entry level experience,Some entry level experience,,,,,,,Some entry level experience,,,"Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab),Self-motivated learning with curated resources (i.e. faculty provide lists of self-led tutorials to do on your own)","R,Python,ArcGIS,QGIS,Google Earth Engine",,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results,Working with spatial data and creating maps",EcoStatsBSU Slack channel,It is at a difficult time for me to attend,,It is at a difficult time for me to attend,,,,I do not know what this resource is,,Some other reason (please specify),,I do not know what this resource is,,,
2022-04-25 11:15:24,2022-04-25 11:39:05,IP Address,132.178.207.19,100,1421,True,2022-04-25 11:39:06,R_2Ez5Bry1WSYFrsu,,,,,43.5885,-116.1918,anonymous,EN,Masters student,,2020,MS Biology,,"Private for-profit industry,Government",,Very important,"Data management,Regression analyses,Data simulation,Process models (e.g. hydrologic modeling, fire spread),Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Some entry level experience,Some entry level experience,,Some entry level experience,Some entry level experience,,,,"Abundance or occurrence of species or events,Vital rates of a population (e.g. mortality, fecundity, emigration, immigration),Efficacy of interventions/treatments (through controlled or natural experiments)",,2,4,3,5,1,7,6,8,9,,"R,ArcGIS",,Moderate experience but more training required,,,,,,,,Some entry level experience,,,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab)","R,ArcGIS",,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results,Working with spatial data and creating maps",1:1 R help sessions provided by the Biology department,Some other reason (please specify),"It seemed to be set up for students who already had some data/code prepared and just needed help working out some details. For a long time, I was so lost and confused that the burden of catching me up to speed would have been unfair to place on other students. I ended up asking for help from faculty in a 1:1 setting instead.",Some other reason (please specify),"Similar reasons as for the R User Group - I didn't think it was an appropriate place to ask for the kind of help I needed. ",I forget,,I do not know what this resource is,,,,I do not know what this resource is,,,"For me, the gap between the skills taught in Biometry and the skills needed for ""next steps"" (subsequent stats-focused classes & real analysis of my own data) was too wide. I had to take EEB 622 twice (once for credit and once as an auditor) to feel competent in R. Perhaps some intermediate-level class to bridge the gap between Biometry and EEB 622, or maybe a few sessions of the R User Group or Stats Hour explicitly tailored toward covering foundational coding skills could be helpful."
2022-04-25 11:39:18,2022-04-25 11:43:17,IP Address,132.178.207.20,100,238,True,2022-04-25 11:43:17,R_ua0XstxYCqgxLPP,,,,,43.5885,-116.1918,anonymous,EN,PhD student,,2020,"PhD Ecology, Evolution, & Behavior",,Private for-profit industry,,Very important,"Data management,Machine learning,Process models (e.g. hydrologic modeling, fire spread),Closed-form mathematical models,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Some entry level experience,,Some entry level experience,,Some entry level experience,,Some entry level experience,,Spatial (or temporal) autocorrelation in the predictors or response,,2,1,3,4,5,6,7,8,9,,Python,,,Some entry level experience,,,,,,,,,,"Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab)",Python,,Fitting complex regression analyses,R Users' Group,,,It is at a difficult time for me to attend,,It is at a difficult time for me to attend,,It is at a difficult time for me to attend,,It is at a difficult time for me to attend,,,,,
2022-04-25 12:16:34,2022-04-25 12:24:44,IP Address,174.247.155.157,100,489,True,2022-04-25 12:24:45,R_3rHvjr2Yw33H3UM,,,,,40.7592,-111.8875,anonymous,EN,PhD student,,2017,"PhD Ecology, Evolution, & Behavior",,Academia -  primarily teaching,,Extremely important,"Data management,Regression analyses,Data simulation,Individual or agent-based models/computer simulation,Structural equation modeling,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Moderate experience but more training required,Moderate experience but more training required,,Moderate experience but more training required,,Moderate experience but more training required,,Moderate experience but more training required,"Abundance or occurrence of species or events,Vital rates of a population (e.g. mortality, fecundity, emigration, immigration),Efficacy of interventions/treatments (through controlled or natural experiments),Spatial (or temporal) autocorrelation in the predictors or response,Latent categorical or clustering variables (i.e. survey response)",,1,7,4,5,3,6,2,8,9,,"R,STAN,NetLogo,QGIS",,Moderate experience but more training required,,Some entry level experience,,,,,Some entry level experience,,Some entry level experience,,"Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab),Student-led workshops","R,STAN,NetLogo,QGIS",,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results,Working with spatial data and creating maps","R Users' Group,Stats Hour,1:1 R help sessions provided by the Biology department",,,,,"It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,I forget,I am not comfortable posting in this channel",,I do not know what this resource is,,,,"It is at a difficult time for me to attend,I forget",,"Great intro to lots of things and I appreciate the informal opportunities but these seem most beneficial for the advanced users ",Advisors do not always have familiarity with contemporary statistical approaches and programs. Stats expert faculty often to do not have availability and familiarity with the kinds of problems I face.
2022-04-25 12:28:57,2022-04-25 12:35:56,IP Address,174.27.171.236,100,418,True,2022-04-25 12:35:56,R_2upI40VK95jCbQW,,,,,43.6643,-116.2419,anonymous,EN,Faculty member,,,"MS Biology,PhD Ecology, Evolution, & Behavior",,"Academia - primarily research,Academia -  primarily teaching,Government",,Very important,"Data management,Regression analyses,Machine learning,Data simulation,Structural equation modeling,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Moderate experience but more training required,Competent at a professional level (ready to enter the job market),No experience,No experience,,,,No experience,"Abundance or occurrence of species or events,Multivariate indices of community composition (e.g. community assemblages and similarity indexes),Efficacy of interventions/treatments (through controlled or natural experiments)",,1,2,3,5,4,6,7,8,9,,R,,Moderate experience but more training required,,,,,,,,,,,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Self-motivated learning with curated resources (i.e. faculty provide lists of self-led tutorials to do on your own)","R,Python,STAN",,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results,Taking advantage of high-performance computing resources","R Users' Group,Stats Hour,EcoStatsBSU Slack channel",,,,,,,It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,,I do not know what this resource is,,Some other reason (please specify),"Not enough time, not highest priority","They seem to be improving a lot recently, and students are getting help",A curated list of good tutorials would be very helpful
2022-04-25 10:29:57,2022-04-25 13:00:07,IP Address,75.174.210.93,100,9009,True,2022-04-25 13:00:07,R_1CJ7EwV4oJY7jnP,,,,,43.6349,-116.2023,anonymous,EN,PhD student,,2018,"PhD Ecology, Evolution, & Behavior",,"Academia - primarily research,Academia -  primarily teaching,Government",,Extremely important,"Data management,Regression analyses,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Moderate experience but more training required,Competent at a professional level (ready to enter the job market),,,,,,,"Abundance or occurrence of species or events,Spatial (or temporal) autocorrelation in the predictors or response,Latent categorical or clustering variables (i.e. survey response)",,1,3,4,5,2,6,7,8,9,,"R,NetLogo,QGIS",,Competent at a professional level,,,,,,,Moderate experience but more training required,,Competent at a professional level,,"Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab),Self-motivated learning with curated resources (i.e. faculty provide lists of self-led tutorials to do on your own)","R,STAN,BUGS/JAGS,NetLogo,Google Earth Engine",,"Fitting complex regression analyses,Effective data visualization and/or presentation of results,Working with spatial data and creating maps","Stats Hour,EcoStatsBSU Slack channel,EcoStats Summer reading group","It is at a difficult time for me to attend,Some other reason (please specify)","I attended a few times in the fall when it fit my schedule, but it felt like everyone else there was focused on working through assignments from a class.",,,,,It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,,I forget,,,,"I've found the community very welcoming - it's easy to find someone to ask questions and people are willing to help or point you to resources. ","At least when I started, it felt like there was a huge jump from Biometry to EEB 622. I think it would have been helpful to have some additional stats/R preparation between the two (which it seems like might be improving now)"
2022-04-25 13:25:49,2022-04-25 13:34:44,IP Address,174.27.1.115,100,534,True,2022-04-25 13:34:44,R_2P4L3eJkKfoOFov,,,,,43.6339,-116.2942,anonymous,EN,PhD student,,2018,"PhD Ecology, Evolution, & Behavior",,"Private non-profit organization,Independent consulting,Non-university teaching,Government",,Moderately important,"Data management,Regression analyses,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Some entry level experience,Moderate experience but more training required,,,,,,,"Abundance or occurrence of species or events,Multivariate indices of community composition (e.g. community assemblages and similarity indexes),Spatial (or temporal) autocorrelation in the predictors or response",,4,3,6,7,1,5,2,8,9,,"R,ArcGIS,QGIS,Google Earth Engine",,Some entry level experience,,,,,,,,Moderate experience but more training required,Moderate experience but more training required,Some entry level experience,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab),Weeklong ‘bootcamps’ provided by faculty,Self-motivated learning with curated resources (i.e. faculty provide lists of self-led tutorials to do on your own),Student-led workshops","R,Google Earth Engine",,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results,Working with spatial data and creating maps",,It is at a difficult time for me to attend,,I do not know what this resource is,,Some other reason (please specify),"I haven't needed to use it yet, and currently most of my issues are QGIS and Arc related, so I wasn't sure if that's a place to ask those quesitons",I do not know what this resource is,,I do not know what this resource is,,It is at a difficult time for me to attend,,,"I think that having some coursework dedicated to programming would be helpful. "
2022-04-26 10:52:12,2022-04-26 11:01:24,IP Address,96.19.4.21,100,551,True,2022-04-26 11:01:24,R_2bQx0qEs8qmG8ts,,,,,43.5885,-116.1918,anonymous,EN,Faculty member,,,"MS Biology,PhD Ecology, Evolution, & Behavior",,"Academia - primarily research,Non-university teaching,Government",,Very important,"Data management,Regression analyses,Structural equation modeling,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Moderate experience but more training required,Some entry level experience,,,,,,Some entry level experience,"Multivariate indices of community composition (e.g. community assemblages and similarity indexes),Efficacy of interventions/treatments (through controlled or natural experiments),Spatial (or temporal) autocorrelation in the predictors or response,Latent categorical or clustering variables (i.e. survey response)",,1,2,7,3,5,6,4,8,9,,"R,ArcGIS,QGIS",,Moderate experience but more training required,,,,,,,,Competent at a professional level,Moderate experience but more training required,,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab)","R,Google Earth Engine",,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results,Working with spatial data and creating maps,Taking advantage of high-performance computing resources",,,,,,,,,,,,,,,"Boise State needs a dedicated, professional statistician who can advise students and faculty on their research"
2022-04-26 10:53:29,2022-04-26 11:02:36,IP Address,75.174.7.183,100,547,True,2022-04-26 11:02:36,R_ssXnQqMj3qGZmXD,,,,,43.6342,-116.341,anonymous,EN,Faculty member,,,"MS Biology,PhD Ecology, Evolution, & Behavior",,"Independent consulting,Academia - primarily research,Academia -  primarily teaching",,Moderately important,"Data management,Machine learning,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Moderate experience but more training required,,Some entry level experience,,,,,,Other (please specify),Probability assessments of past (ancient to pre-historic) events.,3,5,1,6,2,7,8,4,9,,"R,Python,ArcGIS,Google Earth Engine",,Moderate experience but more training required,Some entry level experience,,,,,,,Some entry level experience,,Some entry level experience,"Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab),Weeklong ‘bootcamps’ provided by faculty","R,Python",,"Managing large or complex data,Effective data visualization and/or presentation of results,Working with spatial data and creating maps,Taking advantage of high-performance computing resources",1:1 R help sessions provided by the Biology department,It is at a difficult time for me to attend,,It is at a difficult time for me to attend,,It is at a difficult time for me to attend,,It is at a difficult time for me to attend,,,,"I do not know what this resource is,Some other reason (please specify)","I keep replying ""difficult time"" but that translates to ""insufficient time"" to be clear.",I think we are making great strides to improve access and types of training for students.,"One possible suggestion is to taylor some of the training to different types of analyses, e.g., a workshop dedicated to Bayesian inference or machine learning, etc. as it applies to different fields of research.  If I knew such a session were to occur, I may make more of an effort to carve out time in my schedule to attend."
